"child_id","child_gender","child_age_rounded","age_days","age","condition","counterbalance","attn1","attn2","test","attn3","rachel_false_belief","diana_false_belief","allie_false_belief","mean_fb","num_speakers","coding_experience","smartphone_frequency","smart_speaker_frequency","voice_assistant_frequency","pass_attn1","pass_attn2","pass_attn3","pass_all_attn","chose_song_1","age_months","floor_age","va_daily","ss_daily","multiSSexperience"
"5c3F4C",NA,NA,3514,9.6208076659822,"Person",1,"spider","wheels","spider",1,1,1,0,0.666666666666667,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)","Several times a day","Several times a day","Several times a day",1,1,1,1,1,115.527501068481,9,TRUE,TRUE,TRUE
NA,NA,NA,4272,11.6960985626283,"Person",4,"wheels","spider","wheels",1,1,1,1,1,NA,NA,"Several times a day",NA,NA,1,1,1,1,1,140.447775914785,11,NA,NA,NA
"5c5BKL","m",2400,2414,6.60917180013689,"Person",4,"wheels","spider","wheels",1,0,0,0,0,0,"no experience with coding","Less than once a week",NA,NA,1,1,1,1,1,79.363513824506,6,NA,NA,FALSE
"5CETCY","m",5520,5505,15.0718685831622,"AI",2,"wheels","spider","spider",1,1,1,1,1,10,"no experience with coding","Several times a day","About once a day","About once a day",1,1,1,1,0,180.984317980077,15,TRUE,TRUE,TRUE
"5CZXYC","m",3240,3241,8.87337440109514,"AI",4,"wheels","spider","wheels",1,1,1,1,1,2,"no experience with coding","Less than once a week","About once a week",NA,1,1,1,1,1,106.552256961568,8,NA,FALSE,TRUE
NA,NA,NA,1630,4.46269678302532,"AI",4,"wheels","spider","spider",1,1,1,1,1,0,"no experience with coding","About once a day","Never",NA,1,1,1,1,0,53.5884538251636,4,NA,FALSE,FALSE
"5EPF77","f",2400,2415,6.61190965092402,"Person",1,"spider","wheels","spider",1,1,1,1,1,NA,"coding class at school","About once a week","Never","Never",1,1,1,1,1,79.396390176546,6,FALSE,FALSE,NA
"5Hd5XN","m",3930,3706,10.1464750171116,"Person",2,"wheels","spider","wheels",1,1,1,1,1,NA,"coding class at school",NA,NA,NA,1,1,1,1,1,121.839760660157,10,NA,NA,NA
"5HHGcY","m",2640,2631,7.20328542094456,"AI",4,"wheels","spider","spider",1,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Never","About once a week",1,1,1,1,0,86.4976822171812,7,FALSE,FALSE,FALSE
"5MGCBZ","m",4050,4056,11.1047227926078,"AI",2,"wheels","spider","wheels",1,1,1,1,1,1,"no experience with coding","About once a day",NA,"About once a day",1,1,1,1,1,133.346483874149,11,TRUE,NA,FALSE
"5Q24K5","f",1290,1283,3.51266255989049,"Person",2,"wheels","spider","wheels",1,0,0,1,0.333333333333333,0,"no experience with coding","About once a week","Never","Never",1,1,1,1,1,42.1803596672913,3,FALSE,FALSE,FALSE
"5TDN53","f",1350,1344,3.67967145790554,"AI",4,"wheels","spider","wheels",1,1,1,1,1,4,"no experience with coding","About once a week","About once a day","About once a week",1,1,1,1,1,44.18581714173,3,FALSE,TRUE,TRUE
"5WcVK4","f",5160,5161,14.1300479123888,"Person",3,"spider","wheels","spider",1,1,1,1,1,4,"after school programs or camps related to coding","Several times a day","Several times a day","Several times a day",1,1,1,1,1,169.674852878325,14,TRUE,TRUE,TRUE
"5WHcX5","m",3750,3749,10.2642026009582,"Person",2,"wheels","spider","wheels",1,1,1,1,1,NA,"no experience with coding","About once a day",NA,"About once a week",1,1,1,1,1,123.253443797876,10,FALSE,NA,NA
"6c4MZT","f",2850,2838,7.7700205338809,"Person",2,"wheels","spider","wheels",1,1,1,1,1,4,"no experience with coding","About once a day","About once a day","About once a day",1,1,1,1,1,93.3030870894566,7,TRUE,TRUE,TRUE
"6FL4TM","f",2550,2536,6.94318959616701,"AI",4,"wheels","spider","wheels",1,1,1,1,1,3,"no experience with coding","Several times a day","Several times a day","Several times a day",1,1,1,1,1,83.3744287733833,6,TRUE,TRUE,TRUE
"6LXAJD","f",4350,4342,11.8877481177276,"AI",2,"wheels","spider","wheels",1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Less than once a week",NA,1,1,1,1,1,142.749120557583,11,NA,FALSE,FALSE
"6P4c2V",NA,NA,3540,9.69199178644764,"Person",2,"wheels","spider","wheels",1,1,1,1,1,2,"coding class at school","Several times a day","About once a day","About once a day",1,1,1,1,1,116.382286221521,9,TRUE,TRUE,TRUE
"6RDT55","f",4920,4924,13.4811772758385,"AI",3,"spider","wheels","wheels",1,1,1,1,1,3,"no experience with coding","Several times a day","Several times a day","Several times a day",1,1,1,1,0,161.88315744485,13,TRUE,TRUE,TRUE
"6RYcKQ","f",1260,1250,3.42231348391513,"AI",2,"wheels","spider","spider",1,1,1,0,0.666666666666667,0,"no experience with coding","Several times a day",NA,"Never",1,1,1,1,0,41.0954400499721,3,FALSE,NA,FALSE
"6S42XL",NA,NA,3479,9.52498288843258,"Person",2,"wheels","spider","wheels",1,1,1,1,1,4,"coding class at school","Several times a day","Several times a day","Several times a day",1,1,1,1,1,114.376828747082,9,TRUE,TRUE,TRUE
"6VN3FP","m",4980,4993,13.6700889801506,"AI",4,"wheels","spider","spider",1,0,0,1,0.333333333333333,0,"coding class at school","Several times a day",NA,NA,1,1,1,1,0,164.151625735608,13,NA,NA,FALSE
"6VQ5NV","f",3330,3335,9.13073237508556,"Person",4,"wheels","spider","wheels",1,1,1,1,1,3,"coding class at school","About once a week","Less than once a week","About once a week",1,1,1,1,1,109.642634053325,9,FALSE,FALSE,TRUE
"6WDXTc","m",2160,2157,5.90554414784394,"Person",2,"wheels","spider","wheels",1,1,1,1,1,2,NA,"About once a day","About once a day","About once a day",1,1,1,1,1,70.9142913502318,5,TRUE,TRUE,TRUE
"735EB3","f",5460,5248,14.3682409308693,"AI",1,"spider","wheels","wheels",1,0,1,1,0.666666666666667,1,"no experience with coding","Several times a day","About once a day","About once a day",1,1,1,1,0,172.535095505803,14,TRUE,TRUE,FALSE
"747d4U","f",2040,2033,5.56605065023956,"Person",1,"spider","wheels","spider",1,0,0,0,0,0,"no experience with coding","Less than once a week","Never","Never",1,1,1,1,1,66.8376236972746,5,FALSE,FALSE,FALSE
"75ZW26","m",1620,1615,4.42162902121834,"Person",4,"wheels","spider","wheels",1,0,0,0,0,NA,NA,"Several times a day",NA,"About once a week",1,1,1,1,1,53.0953085445639,4,FALSE,NA,NA
"775VNH","m",4890,4878,13.3552361396304,"Person",3,"spider","wheels","spider",1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Never","Never",1,1,1,1,1,160.370845251011,13,FALSE,FALSE,FALSE
"77P6BR","f",3300,3293,9.01574264202601,"AI",1,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","Less than once a week","About once a week","About once a week",1,1,1,1,1,108.261827267646,9,FALSE,FALSE,FALSE
"7DNGNA","m",5070,5075,13.8945927446954,"Person",4,"wheels","spider","wheels",1,1,1,1,1,0,"coding class at school","About once a day","Never","Never",1,1,1,1,1,166.847486602887,13,FALSE,FALSE,FALSE
"7EBDYc","f",3270,3278,8.97467488021903,"Person",2,"wheels","spider","wheels",1,1,1,1,1,0,"no experience with coding",NA,NA,NA,1,1,1,1,1,107.768681987047,8,NA,NA,FALSE
"7GdZTX","m",5460,5193,14.217659137577,"AI",4,"wheels","spider","wheels",1,1,1,1,1,NA,NA,"About once a day",NA,"About once a week",1,1,1,1,1,170.726896143604,14,FALSE,NA,NA
"7GKV4Y","m",5670,5662,15.501711156742,"AI",2,"wheels","spider","wheels",1,0,1,1,0.666666666666667,3,"coding class at school","Several times a day",NA,"About once a day",1,1,1,1,1,186.145905250353,15,TRUE,NA,TRUE
NA,NA,NA,2803,7.67419575633128,"Person",3,"spider","wheels","spider",1,1,1,1,1,NA,"no experience with coding","Several times a day","About once a day",NA,1,1,1,1,1,92.1524147680573,7,NA,TRUE,NA
NA,NA,NA,2988,8.18069815195072,"Person",3,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","About once a day","Less than once a week",NA,1,1,1,1,1,98.2345398954532,8,NA,FALSE,FALSE
"7YdT45","f",2550,2551,6.98425735797399,"Person",3,"spider","wheels","spider",1,1,1,1,1,1,"no experience with coding","Several times a day",NA,NA,1,1,1,1,1,83.867574053983,6,NA,NA,FALSE
NA,NA,NA,1121,3.06913073237509,"Person",4,"wheels","spider","spider",1,1,0,0,0.333333333333333,5,"no experience with coding","Several times a day","About once a day",NA,1,1,1,1,0,36.8543906368149,3,NA,TRUE,TRUE
"ADcDUM","m",3330,3319,9.08692676249144,"AI",3,"spider","wheels","spider",1,1,1,1,1,2,"no experience with coding","Several times a day","Less than once a week","Never",1,1,1,1,1,109.116612420686,9,FALSE,FALSE,TRUE
NA,NA,NA,1215,3.3264887063655,"Person",3,"spider","wheels","spider",1,0,1,0,0.333333333333333,0,"no experience with coding","Less than once a week",NA,NA,1,1,1,1,1,39.9447677285728,3,NA,NA,FALSE
"AEVA5R","f",2610,2610,7.14579055441478,"AI",3,"spider","wheels","spider",1,0,0,0,0,2,"no experience with coding","About once a day","About once a week",NA,1,1,1,1,1,85.8072788243417,7,NA,FALSE,TRUE
"AF6JVZ","m",2490,2491,6.81998631074606,"AI",1,"spider","wheels","spider",1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)","Less than once a week","Never","Never",1,1,1,1,1,81.8949929315843,6,FALSE,FALSE,FALSE
"AHG2DK","m",5700,5710,15.6331279945243,"Person",4,"wheels","spider","wheels",1,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)","About once a day","Several times a day","Several times a day",1,1,1,1,1,187.723970148272,15,TRUE,TRUE,TRUE
NA,NA,NA,3639,9.96303901437372,"AI",4,"wheels","spider","wheels",1,1,1,1,1,2,"no experience with coding","Several times a day","Less than once a week",NA,1,1,1,1,1,119.637045073479,9,NA,FALSE,TRUE
"ARMW2Y","m",3900,3900,10.6776180698152,"Person",1,"spider","wheels","spider",1,1,1,1,1,NA,NA,"Several times a day",NA,"About once a week",1,1,1,1,1,128.217772955913,10,FALSE,NA,NA
