id,redcap,version,consent_level,english_all_or_most_or_first_lang_or_school,usable,usable_age,testing_date,video_quality,audio_quality,age,floor_age,gender,condition,counterbalance,first_room,first_song,song1_mem_check,song2_mem_check,test_q,test_q_explanation,P_hear_S,P_see_S,S_see_P,carrie_diverse_desires,rachel_prediction_implicit_false_belief,joe_diverse_beliefs,diana_prediction_false_belief_location,diana_explanation_false_belief_location,diana_control_false_belief_location,allie_predicition_false_belief_location,allie_explanation_false_belief_location,allie_control_emotion,allie_prediction_moral_reasoning_false_belief,allie_explanation_moral_reasoning_false_belief,allie_prediction2_moral_reasoning_false_belief,allie_explanation2_moral_reasoning_false_belief,tom_fb_only,tom_fb_control,tom_fb_with_exp_control,tom_no_why,tom_no_moral,tom_no_why_no_moral,tom,VA_experience,SS_experience,va_type,number_of_SS_in_home,notes
AlexaEmbodiment_220510_186_AD,ob756,1,2,1,1,1,5/10/2022,5,5,11.23,11,F,VUI,2,office,wheels,1,1,spider,because theyre probably connected so it would know that his favorite song is the itsy bitsy spider ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,0,siri on ipad google assitant on phone,0,none in house but familiar with mechanism from friends devices 
AlexaEmbodiment_220512_187_AD,od800,1,2,1,1,1,5/12/22,5,5,11.41,11,M,Person,3,kitchen,spider,1,1,spider,because this paisia hasnt been updated on his favorite song changing,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,alexa on kindle tablets ,1,amazon echo but doesnt work rn 
AlexaEmbodiment_220516_188_AD,ob155,1,2,1,1,1,5/16/22,5,5,9.58,9,F,VUI,4,kitchen,wheels,1,1,wheels,because thats what he told that paisia,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri but dont use that much,4,"moms room, her room, kitchen, bathroom, and 2 in mountain house. she said if she told the one in her room something the one in the kitchen would know that but said she didnt know why she didnt extend that reasoning to the game. also her laptop died halfway through so i paused and restarted the recording and replayed the videos (we watched both videos but she didnt answer questions yet so i just had her watch them again) "
AlexaEmbodiment_220519_189_AD,oc775,1,2,1,1,1,5/19/22,5,5,9.96,9,F,VUI,4,kitchen,wheels,1,1,wheels,because thats what he told that paisia,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,0,NA,0,said she had an alexa for a week but the mom got rid of it and replaced it with a yodo? which sounds kinda like a smart speaker but you dont talk to it. i got no smart speaker experience vibes but ur call 
AlexaEmbodiment_220523_190_AD,oc360,1,1,1,1,1,5/23/22,5,5,9.77,9,M,VUI,1,office,spider,1,1,wheels,because he switched his answer,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,has siri but doesnt use it that much,5,"living room, foster cat room, bathroom, black table room, elliots room "
AlexaEmbodiment_220523_191_AD,od328,1,1,1,1,1,5/23/22,5,5,12.02,12,M,VUI,1,office,spider,1,1,wheels,because theyre on the same account so it knows he changed his song,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,has siri but doesnt use it that much,5,"his room, living room, foster cat room, bathroom, black table room "
AlexaEmbodiment_220523_192_AD,oc946,1,2,1,1,1,5/23/22,5,5,9.11,9,F,VUI,2,office,wheels,1,1,wheels,because thats his favorite song,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,doesnt really use siri ,2,one amazon echo in moms room one google home in living room 
AlexaEmbodiment_220523_193_AD,od380,1,3,1,1,1,5/23/22,5,5,12.67,12,M,VUI,4,kitchen,wheels,1,1,wheels,because scotty told this one it was his favorite song,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri ,2,one amazon echo in his room one amazon echo in kitchen - knows theyre connected and said he didnt know why he didnt think they were connected in the game 
AlexaEmbodiment_220523_194_AD,oc906,1,2,1,1,1,5/23/22,5,5,9.1,9,M,VUI,2,office,wheels,1,1,wheels,because its a different paisia then the other paisia and theyre two different people.. .no.. home pods ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri,2,one amazon echo in kitchen one google home in living room. says he likes the alexa better cuz he can play music and on google they have to use youtube plus 
AlexaEmbodiment_220524_195_AD,od791,1,2,1,1,1,5/24/22,5,4,10.44,10,F,Person,1,office,spider,1,1,spider,because thats what he told that paisia was his favorite song,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri on dads phone,3,one in her room one in kitchen one in living room 
AlexaEmbodiment_220524_196_AD,ob217,1,2,1,1,1,5/24/22,5,5,9.6,9,F,VUI,3,kitchen,spider,1,1,spider,probably the one that he told it because it probably doesnt remember what he told the other paisia. itsy bitsy spider. maybe itll ask him which one if they know the same thing. but it will play the first song ,Y,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,siri on moms phone,1,alexa in kitchen. said she didnt think the paisias were connected cuz they were in different rooms. said they would need to have a wire connecting them if they were gonna be connected
AlexaEmbodiment_220526_197_AD,od038,1,1,1,1,1,5/26/22,5,5,9.43,9,F,Person,2,office,wheels,1,1,wheels,because thats what he told that paisia,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,1,1,google or siri on parents phones,1,google home (portable in house) 
AlexaEmbodiment_220526_198_AD,od300,1,2,1,1,1,5/26/22,5,5,9.54,9,M,Person,3,kitchen,spider,1,1,spider,because thats what he told that paisia,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,1,alexa in the dining room 
AlexaEmbodiment_220530_199_AD,oc980,1,3,1,1,1,5/30/22,5,5,9.12,9,M,Person,4,kitchen,wheels,1,1,wheels,because thats what he told the paisia in the kitchen,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,1,alexa in kitchen 
AlexaEmbodiment_220531_200_AD,ob215,1,3,1,1,1,5/31/22,5,5,10.63,10,M,Person,2,office,wheels,1,1,wheels,because she didnt know that he told the other paisia something else ,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,1,"3 apple home pods, one in brothers room, one in his room, one in kitchen "
AlexaEmbodiment_220531_201_AD,ob213,1,3,1,1,1,5/31/22,5,5,9.04,9,M,Person,4,kitchen,wheels,1,1,wheels,because she remembered that thats what he told her his favorite song was ,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,1,NA,1,"3 apple home pods, one in brothers room, one in his room, one in kitchen "
