child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
J6DT2K,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,m
dMcX57,person,1,spider,wheels,wheels,0,1,1,1,1.0,no experience with coding,About once a week,Several times a day,Several times a day,1,1,0,0,0,m
d6RFVM,person,3,spider,wheels,spider,1,1,1,1,,,Several times a day,Never,About once a week,1,1,1,1,1,m
XUUFNU,person,1,spider,wheels,spider,1,1,1,1,0.0,no experience with coding,Several times a day,Never,Less than once a week,1,1,1,1,1,f
BZVQUN,AI,4,wheels,spider,wheels,1,1,1,1,6.0,coding class at school,About once a day,Several times a day,About once a day,1,1,1,1,1,f
CT6TE2,AI,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1,f
GXJBPE,AI,3,spider,wheels,spider,1,0,0,1,3.0,no experience with coding,Several times a day,Less than once a week,Less than once a week,1,1,1,1,1,m
4P2QUV,person,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,1,m
3MGZ2D,AI,3,twinkle,twinkle,wheels,1,1,1,0,1.0,no experience with coding,About once a day,Less than once a week,Less than once a week,0,0,1,0,0,f
PRPWZF,person,2,wheels,spider,wheels,1,1,1,1,1.0,no experience with coding,Several times a day,About once a day,About once a week,1,1,1,1,1,f
YFLMKE,AI,2,wheels,spider,wheels,1,1,1,1,2.0,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1,m
MBCA5E,person,2,wheels,spider,wheels,1,0,1,1,3.0,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1,f
J3RPUM,person,4,wheels,spider,wheels,1,1,1,1,3.0,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,m
5c5BKL,person,4,wheels,spider,wheels,1,0,0,0,0.0,no experience with coding,Less than once a week,,,1,1,1,1,1,m
