child_id,child_gender,child_age_rounded,age_days,age,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,mean_fb,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,age_months,floor_age,va_daily,ss_daily,multiSSexperience
5WHcX5,m,3750,3749,10.2642026,Person,2,wheels,spider,wheels,1,1,1,1,1,,no experience with coding,About once a day,,About once a week,1,1,1,1,1,123.2534438,10,FALSE,,
6c4MZT,f,2850,2838,7.770020534,Person,2,wheels,spider,wheels,1,1,1,1,1,4,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1,93.30308709,7,TRUE,TRUE,TRUE
6FL4TM,f,2550,2536,6.943189596,AI,4,wheels,spider,wheels,1,1,1,1,1,3,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,83.37442877,6,TRUE,TRUE,TRUE
6LXAJD,f,4350,4342,11.88774812,AI,2,wheels,spider,wheels,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,,1,1,1,1,1,142.7491206,11,,FALSE,FALSE
6P4c2V,,,3540,9.691991786,Person,2,wheels,spider,wheels,1,1,1,1,1,2,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,1,116.3822862,9,TRUE,TRUE,TRUE
6RDT55,f,4920,4924,13.48117728,AI,3,spider,wheels,wheels,1,1,1,1,1,3,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0,161.8831574,13,TRUE,TRUE,TRUE
6RYcKQ,f,1260,1250,3.422313484,AI,2,wheels,spider,spider,1,1,1,0,0.666666667,0,no experience with coding,Several times a day,,Never,1,1,1,1,0,41.09544005,3,FALSE,,FALSE
6S42XL,,,3479,9.524982888,Person,2,wheels,spider,wheels,1,1,1,1,1,4,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,114.3768287,9,TRUE,TRUE,TRUE
6VN3FP,m,4980,4993,13.67008898,AI,4,wheels,spider,spider,1,0,0,1,0.333333333,0,coding class at school,Several times a day,,,1,1,1,1,0,164.1516257,13,,,FALSE
6VQ5NV,f,3330,3335,9.130732375,Person,4,wheels,spider,wheels,1,1,1,1,1,3,coding class at school,About once a week,Less than once a week,About once a week,1,1,1,1,1,109.6426341,9,FALSE,FALSE,TRUE
