"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"Fc7UHG",3259,"m","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Less than once a week"
"FdK67M",1199,"f","AI",1,"spider","twinkle",1,0,"wheels",0,1,0,0,1,NA,NA
"G36QUX",3838,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Several times a day"
"G3BWNN",4427,"m","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"G5dAEK",4233,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a week"
"G64NX2",3299,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,3,"About once a day"
"GCCDGU",1188,"f","Person",2,"twinkle","twinkle",0,0,"wheels",1,1,0,0,1,0,"Never"
"GE4NBT",5628,"m","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,NA,"Never"
"GFRFTR",1915,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Less than once a week"
"GLQULU",2655,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"Never"
"GQYEcF",2339,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"GRLVFF",1219,"m","Person",1,"spider","wheels",1,1,"spider",1,1,0,0,1,3,"Less than once a week"
"GXJBPE",1178,"m","AI",3,"spider","wheels",1,1,"spider",1,1,0,0,1,3,"Less than once a week"
"GYU46J",4148,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"H3HBTJ",1389,"f","AI",2,"wheels","spider",1,1,"wheels",1,0,1,1,1,3,"Never"
"H5HUVK",5244,"f","AI",1,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,"About once a week"
"H7RFHM",3039,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Several times a day"
